"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00233708","1893-05-31","39.966667","-93.583333",,"HAZELHURST, MO US","    8",",,6",,,,,,
"USC00233708","1893-06-01","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6",,,,,,
"USC00233708","1893-06-02","39.966667","-93.583333",,"HAZELHURST, MO US","   10",",,6",,,,,,
"USC00233708","1893-06-03","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6",,,,,,
"USC00233708","1893-06-04","39.966667","-93.583333",,"HAZELHURST, MO US","  338",",,6",,,,,,
"USC00233708","1893-06-05","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-06","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-07","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-08","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-10","39.966667","-93.583333",,"HAZELHURST, MO US","   30",",,6",,,,,,
"USC00233708","1893-06-11","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-06-12","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-13","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-14","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-06-15","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-16","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-17","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-18","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-19","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-06-20","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-21","39.966667","-93.583333",,"HAZELHURST, MO US","  269",",,6",,,,,,
"USC00233708","1893-06-22","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-23","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-24","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-06-25","39.966667","-93.583333",,"HAZELHURST, MO US","   33",",,6",,,,,,
"USC00233708","1893-06-26","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-27","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-28","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-29","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-06-30","39.966667","-93.583333",,"HAZELHURST, MO US","  551",",,6",,,,,,
"USC00233708","1893-07-01","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-02","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-03","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-04","39.966667","-93.583333",,"HAZELHURST, MO US","   89",",,6",,,,,,
"USC00233708","1893-07-05","39.966667","-93.583333",,"HAZELHURST, MO US","   18",",,6",,,,,,
"USC00233708","1893-07-06","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-07-07","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-08","39.966667","-93.583333",,"HAZELHURST, MO US","  516",",,6",,,,,,
"USC00233708","1893-07-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-10","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-11","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-07-12","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-13","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-14","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-15","39.966667","-93.583333",,"HAZELHURST, MO US","  566",",,6",,,,,,
"USC00233708","1893-07-16","39.966667","-93.583333",,"HAZELHURST, MO US","  160",",,6",,,,,,
"USC00233708","1893-07-17","39.966667","-93.583333",,"HAZELHURST, MO US","   91",",,6",,,,,,
"USC00233708","1893-07-18","39.966667","-93.583333",,"HAZELHURST, MO US","    5",",,6",,,,,,
"USC00233708","1893-07-19","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-07-20","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-21","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-22","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-23","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-24","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-25","39.966667","-93.583333",,"HAZELHURST, MO US","   25",",,6",,,,,,
"USC00233708","1893-07-26","39.966667","-93.583333",,"HAZELHURST, MO US","   18",",,6",,,,,,
"USC00233708","1893-07-27","39.966667","-93.583333",,"HAZELHURST, MO US","   25",",,6",,,,,,
"USC00233708","1893-07-28","39.966667","-93.583333",,"HAZELHURST, MO US","   33",",,6",,,,,,
"USC00233708","1893-07-29","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-07-30","39.966667","-93.583333",,"HAZELHURST, MO US","  104",",,6",,,,,,
"USC00233708","1893-07-31","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-08-10","39.966667","-93.583333",,"HAZELHURST, MO US","   15",",,6",,,,,,
