"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-03-17","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  109",",,6,","    0",",,6,","    0",",,6,","  100",",,6","   33",",,6",,,,,,,,,,,,,,,,,,,"   39",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-18","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   66",",,6,","    0",",,6,","    0",",,6,","   72",",,6","   17",",,6",,,,,,,,,,,,,,,,,,,"   61",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-19","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","   94",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,"   83",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-20","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  139",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,"   72",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-21","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  111",",,6","  -28",",,6",,,,,,,,,,,,,,,,,,,"  100",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-22","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  228",",,6","   28",",,6",,,,,,,,,,,,,,,,,,,"  228",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-23","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  267",",,6","   61",",,6",,,,,,,,,,,,,,,,,,,"  256",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-24","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  256",",,6","   67",",,6",,,,,,,,,,,,,,,,,,,"  222",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-25","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   89",",,6,","    0",",,6,","    0",",,6,",,,"  128",",,6",,,,,,,,,,,,,,,,,,,"  189",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-26","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  239",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,"  233",",I,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-27","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","  155",",,6,","    0",",,6,","    0",",,6,","  211",",I,6","   72",",,6",,,,,,,,,,,,,,,,,,,"  128",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-28","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  178",",,6","   -6",",,6",,,,,,,,,,,,,,,,,,,"  172",",,6,",,,,,,,,,,,,,,,,,,,,,,
