"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00118146","1991-10-17","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-18","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   25",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,"    1",",,0"
"USC00118146","1991-10-19","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-20","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-21","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-22","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-23","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  183",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,"    1",",,0"
"USC00118146","1991-10-24","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  117",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-10-25","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   10",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-26","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   43",",,0,0700","    0","P,,0","    0","P,,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-10-27","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    8",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-28","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  109",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-29","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  229",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-30","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-10-31","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  584",",,0,0700","    0","P,,0","    0","P,,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-01","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,,0,0700","    0","P,,0","    0",",,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-02","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,,0,0700","    0","T,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-03","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-04","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-05","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-06","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-07","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  152",",,0,0700","   51",",,0",,,,,,,,,,,,,,,,,,
"USC00118146","1991-11-08","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0",,,,,,,,,,,,,,,,,,
"USC00118146","1991-11-09","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0",,,,,,,,,,,,,,,,,,
"USC00118146","1991-11-10","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-11","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   38",",,0,0700","   13",",,0",,,,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-12","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-13","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-14","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  229",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-15","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   25",",,0,0700","    0","P,,0","    0","P,,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-16","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   64",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-17","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  132",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-18","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-19","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   64",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-20","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-21","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-22","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   64",",,0,0700","    0","T,,0","    0",",,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-23","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   76",",,0,0700","   25",",,0",,,,,,,,,,,,,,,,,,
"USC00118146","1991-11-24","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-25","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-26","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   76",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,"    1",",,0"
"USC00118146","1991-11-27","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   76",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-11-28","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    8",",,0,0700","    0","P,,0","    0","P,,0,",,,,,"    1",",,0",,,,,,,,,,
"USC00118146","1991-11-29","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  152",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-11-30","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-01","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-02","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  229",",,0,0700","   76",",,0",,,,,,,,,,,"    1",",,0",,,"    1",",,0",,
"USC00118146","1991-12-03","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  152",",,0,0700","   51",",,0",,,,,,,,,,,,,,,"    1",",,0",,
"USC00118146","1991-12-04","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","   51",",,0",,,,,,,,,,,,,,,"    1",",,0",,
"USC00118146","1991-12-05","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0",,,,,,,,,,,,,,,"    1",",,0",,
"USC00118146","1991-12-06","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0",",,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-07","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   89",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-08","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","   64",",L,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,,
"USC00118146","1991-12-09","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US",,,"    0","P,,0","    0","P,,0,",,,"    0",",L,0",,,,,,,,,,,,
"USC00118146","1991-12-10","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-11","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","  145",",,0,0700","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,
"USC00118146","1991-12-12","41.03139","-89.44028","174.7","SPARLAND 6 SW, IL US","    0","T,L,0,0700","    0","P,,0","    0","P,,0,",,,,,,,"    1",",,0",,,,,,,"    1",",,0"
