"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00196783","1960-03-19","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   76",",,0,","   61",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-20","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   76",",,0,","   83",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-21","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   76",",,0,","   50",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-22","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0","T,,0,","   76",",,0,","    0",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-23","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   51",",,0,","   39",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-24","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","   25",",,0,","   67",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-25","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   25",",,0,","   -6",",,0"," -106",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-26","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","   25",",,0,","   17",",,0"," -139",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-27","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0","T,,0,","   94",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-28","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","    0","T,,0,","  172",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-29","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   78",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-30","42.524","-71.1249","33.5","READING, MA US","   46",",,0,2200","    0",",,0,","    0",",,0,","  144",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-03-31","42.524","-71.1249","33.5","READING, MA US","  211",",,0,2200","    0",",,0,","    0",",,0,","  161",",,0","  111",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-01","42.524","-71.1249","33.5","READING, MA US","   48",",,0,2200","    0",",,0,","    0",",,0,","  111",",,0","   33",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-02","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   78",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-03","42.524","-71.1249","33.5","READING, MA US","   28",",,0,2200","    0",",,0,","    0",",,0,","   89",",,0","   -6",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-04","42.524","-71.1249","33.5","READING, MA US","  127",",,0,2200","    0",",,0,","    0",",,0,","  206",",,0","   33",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-05","42.524","-71.1249","33.5","READING, MA US","  297",",,0,2200","    0",",,0,","    0",",,0,","  122",",,0","   22",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-06","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","   61",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-07","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  106",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-08","42.524","-71.1249","33.5","READING, MA US","   69",",,0,2200","    0",",,0,","    0",",,0,","   78",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
